location,region
Links Pocket,Link's Pocket
KF Kokiri Sword Chest,Kokiri Forest
KF GS Know It All House,Kokiri Forest
KF GS Bean Patch,Kokiri Forest
KF GS House of Twins,Kokiri Forest
KF Gossip Stone,Kokiri Forest
Kokiri Forest Gossip Stone Fairy,Kokiri Forest
Kokiri Forest Bean Plant Fairy,Kokiri Forest
Showed Mido Sword & Shield from Kokiri Forest,Kokiri Forest
KF Outside Deku Tree Deku Baba Sticks,Kokiri Forest
KF Outside Deku Tree Deku Baba Nuts,Kokiri Forest
KF Deku Tree Gossip Stone (Left),Kokiri Forest
KF Deku Tree Gossip Stone (Right),Kokiri Forest
Showed Mido Sword & Shield from KF Outside Deku Tree,Kokiri Forest
KF Links House Cow,Kokiri Forest
KF Midos Top Left Chest,Kokiri Forest
KF Midos Top Right Chest,Kokiri Forest
KF Midos Bottom Left Chest,Kokiri Forest
KF Midos Bottom Right Chest,Kokiri Forest
KF Shop Item 1,Kokiri Forest
KF Shop Item 2,Kokiri Forest
KF Shop Item 3,Kokiri Forest
KF Shop Item 4,Kokiri Forest
KF Shop Item 5,Kokiri Forest
KF Shop Item 6,Kokiri Forest
KF Shop Item 7,Kokiri Forest
KF Shop Item 8,Kokiri Forest
LW Skull Kid,the Lost Woods
LW Ocarina Memory Game,the Lost Woods
LW Target in Woods,the Lost Woods
LW Deku Scrub Near Bridge,the Lost Woods
LW GS Bean Patch Near Bridge,the Lost Woods
LW Gossip Stone,the Lost Woods
Lost Woods Gossip Stone Fairy,the Lost Woods
Lost Woods Bean Plant Fairy,the Lost Woods
Lost Woods Bug Shrub,the Lost Woods
Odd Mushroom Access from Lost Woods,the Lost Woods
Poachers Saw Access from Lost Woods,the Lost Woods
Lost Woods Subrule 1,the Lost Woods
Lost Woods Subrule 2,the Lost Woods
Lost Woods Subrule 3,the Lost Woods
LW Deku Scrub Near Deku Theater Right,the Lost Woods
LW Deku Scrub Near Deku Theater Left,the Lost Woods
LW GS Above Theater,the Lost Woods
LW GS Bean Patch Near Theater,the Lost Woods
LW Beyond Mido Butterfly Fairy,the Lost Woods
LW Beyond Mido Subrule 1,the Lost Woods
LW Beyond Mido Subrule 2,the Lost Woods
Song from Saria,Sacred Forest Meadow
Sheik in Forest,Sacred Forest Meadow
SFM GS,Sacred Forest Meadow
SFM Maze Gossip Stone (Lower),Sacred Forest Meadow
SFM Maze Gossip Stone (Upper),Sacred Forest Meadow
SFM Saria Gossip Stone,Sacred Forest Meadow
